-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,-1,-1
-1,-1,39,134,135,135,135,135,135,135,135,43,135,135,135,135,135,135,135,135,135,136,41,-1,-1
-1,-1,39,153,8,-1,154,-1,-1,8,-1,43,-1,-1,-1,-1,-1,-1,154,154,154,155,41,-1,-1
-1,-1,39,153,15,-1,23,24,-1,15,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,41,-1,-1
-1,-1,39,153,22,-1,30,31,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,41,41,-1
-1,-1,39,153,29,-1,-1,-1,-1,29,-1,-1,-1,-1,-1,19,17,17,17,17,19,155,41,41,-1
-1,-1,39,153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,41,-1,214
-1,-1,39,153,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,19,-1,-1,-1,-1,-1,-1,155,41,-1,214
-1,-1,39,153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155,41,-1,2
-1,-1,39,153,-1,-1,16,17,17,17,17,17,18,-1,-1,-1,-1,-1,-1,-1,-1,155,41,-1,-1
-1,-1,39,172,173,173,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,173,173,155,41,-1,-1
-1,-1,39,-1,-1,-1,-1,154,-1,-1,-1,-1,-1,10,10,10,10,10,10,-1,-1,-1,41,-1,-1
-1,-1,39,40,-1,-1,-1,173,173,173,173,173,173,173,173,173,173,173,173,-1,-1,-1,41,-1,-1
-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,41,-1,-1
-1,-1,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,-1,-1
-1,-1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,-1,-1
-1,-1,-1,-1,-1,-1,59,59,-1,59,59,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
